date_pub,statut_ex,bib,pret,diff_datecreation_datepub,acces,acq,indice
1996,19,LASH,0,25,direct,achat,89
2016,19,SCIEN,0,1,direct,achat,51
2016,19,SCIEN,1,1,direct,achat,51
2014,19,SCIEN,1,3,direct,achat,51
2017,19,SCIEN,1,0,direct,achat,51
2021,18,SJA,1,0,direct,achat,WH
2013,19,LASH,0,8,direct,achat,49
1992,19,SJA,1,24,direct,don,65
2011,19,LASH,1,5,direct,achat,15
2013,19,SJA,1,7,direct,achat,15
2015,19,DROIT,0,1,direct,achat,34
2016,19,DROIT,1,0,direct,achat,34
1962,19,LASH,0,59,indirect,achat,numinv
1979,19,LASH,0,42,indirect,achat,numinv
2008,19,SCIEN,0,8,direct,achat,49
2016,19,LASH,1,1,direct,achat,35
2016,19,SCIEN,0,0,direct,achat,33
2016,19,SJA,1,0,direct,achat,51
2021,19,DROIT,0,0,direct,achat,34
2017,19,LASH,0,4,direct,don,44
1968,19,LASH,0,53,indirect,achat,numinv
1968,19,LASH,0,53,indirect,achat,numinv
2019,19,DROIT,1,0,direct,achat,34
2018,19,DROIT,0,1,direct,achat,34
2016,19,DROIT,1,2,direct,don,34
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,1,0,indirect,achat,numinv
2013,19,DROIT,0,3,direct,achat,34
2016,19,DROIT,1,0,direct,achat,34
2010,19,LASH,0,11,direct,achat,79
2016,19,SJA,0,0,direct,achat,34
2018,19,DROIT,0,3,direct,achat,94
1994,19,SJA,0,25,direct,don,30
2015,19,LASH,1,1,direct,achat,BD
1970,19,LASH,0,51,direct,achat,82
1968,19,LASH,0,53,direct,achat,82
2014,19,DROIT,1,2,direct,achat,34
2021,19,DROIT,0,0,direct,achat,32
1927,19,LASH,0,94,indirect,don,numinv
2016,19,SCIEN,1,0,direct,achat,51
2020,19,DROIT,0,1,direct,don,36
2016,19,EPU,1,0,direct,achat,30
1930,19,LASH,0,91,indirect,don,numinv
2016,19,SCIEN,1,0,direct,achat,61
2005,19,SJA,0,16,direct,don,65
2000,19,LASH,1,21,direct,achat,94
2016,19,LASH,0,0,direct,achat,19
1979,19,LASH,0,37,indirect,don,numinv
2016,19,SCIEN,1,0,direct,achat,33
2016,19,DROIT,1,1,direct,don,34
2015,19,SCIEN,1,1,direct,achat,33
2021,19,DROIT,1,0,direct,achat,34
2019,19,LASH,0,2,direct,achat,94
2019,19,LASH,0,2,direct,achat,80
2021,19,DROIT,1,0,direct,achat,34
2021,19,DROIT,1,0,direct,achat,34
2021,19,SCIEN,1,0,direct,achat,53
1983,19,SJA,0,34,direct,don,32
2010,19,MEDP,1,7,direct,achat,WY
2021,19,DROIT,1,0,direct,achat,34
2013,19,LASH,0,8,direct,achat,49
2011,19,SJA,1,9,direct,achat,30
2015,19,SJA,1,2,direct,achat,30
2020,19,LASH,0,1,direct,achat,30
2016,19,SJA,1,1,direct,achat,32
2016,19,SJA,1,1,direct,achat,65
2009,19,LASH,0,12,direct,achat,49
2013,19,SJA,0,6,direct,achat,33
2016,19,DROIT,1,0,direct,achat,32
1936,19,DROIT,0,80,direct,achat,numinv
2016,19,DROIT,1,0,direct,achat,32
2021,19,SCIEN,1,0,direct,achat,60
2021,19,SCIEN,1,0,direct,achat,51
1979,19,LASH,0,42,direct,achat,numinv
2021,19,LASH,0,0,direct,achat,80
1967,19,LASH,0,54,indirect,achat,numinv
1967,19,LASH,0,54,indirect,achat,numinv
2013,19,SJA,0,3,direct,achat,WB
2011,19,EPU,1,5,direct,achat,62
2016,19,SCIEN,1,0,direct,achat,00
2016,19,SJA,1,0,direct,achat,51
2016,19,SCIEN,1,0,direct,achat,62
2016,19,SCIEN,1,0,direct,achat,62
1965,19,DROIT,0,51,direct,achat,numinv
2006,19,LASH,0,12,indirect,achat,numinv
2016,19,SJA,0,3,direct,achat,33
2015,19,LASH,0,2,direct,achat,30
2012,19,SJA,0,7,direct,achat,65
2016,19,SJA,1,1,direct,achat,65
2015,19,EPU,1,1,direct,achat,51
2019,19,SCIEN,0,1,direct,achat,51
2020,18,MEDP,1,0,direct,don,W 
2004,19,SJA,0,12,direct,achat,WB
1950,19,DROIT,0,66,direct,achat,numinv
2016,19,SJA,1,0,direct,achat,65
2016,19,SJA,1,0,direct,achat,65
2016,19,SJA,0,3,direct,achat,65
2016,19,STAPS,1,0,direct,achat,79
2016,19,STAPS,1,0,direct,achat,79
2019,19,SJA,0,0,direct,achat,33
1998,19,SCIEN,1,20,direct,achat,51
2013,19,LASH,1,6,direct,achat,86
2015,19,LASH,1,3,direct,achat,84
2018,19,MEDP,0,0,direct,achat,QD
2018,19,SJA,1,0,direct,achat,65
2018,19,LASH,0,1,direct,achat,19
2019,19,DROIT,1,0,direct,achat,34
2019,19,LASH,0,0,direct,achat,85
2006,19,STAPS,0,10,direct,achat,37
1999,19,LASH,1,20,direct,don,19
2004,19,LASH,0,15,direct,don,17
1969,19,LASH,0,50,indirect,don,numinv
1974,19,LASH,0,45,direct,achat,84
1990,19,SJA,1,25,direct,achat,30
2018,19,DROIT,1,0,direct,achat,34
2018,19,DROIT,1,0,direct,achat,34
2019,19,LASH,1,0,direct,achat,94
2011,19,LASH,0,8,direct,achat,94
2018,19,LASH,0,3,direct,achat,11
2019,19,SCIEN,1,1,direct,achat,02
2019,19,LASH,1,1,direct,achat,92
2018,19,DROIT,0,0,direct,achat,32
2018,19,MEDP,1,1,direct,achat,W 
2012,19,LASH,1,7,direct,don,79
2019,19,SCIEN,1,1,direct,achat,55
2017,19,MEDP,0,1,direct,achat,WY
2018,19,MEDP,0,0,direct,achat,WY
2007,19,SJA,1,9,direct,achat,65
2014,19,LASH,1,2,direct,achat,85
2019,19,SCIEN,0,0,direct,achat,57
2016,19,MEDP,0,2,direct,achat,WO
2000,19,LASH,1,18,indirect,achat,numinv
2005,19,SJA,0,13,direct,don,00
2017,18,MEDP,1,1,direct,achat,WN
2018,19,SCIEN,1,0,direct,achat,61
2014,19,LASH,0,4,indirect,achat,numinv
2019,19,DROIT,1,0,direct,achat,34
2015,19,SJA,1,1,direct,achat,65
2016,19,SJA,1,0,direct,achat,65
2011,19,LASH,0,5,direct,achat,29
2015,19,LASH,1,3,direct,achat,80
2018,19,DROIT,1,0,direct,achat,34
2019,19,EPU,1,1,direct,achat,00
2019,19,LASH,1,0,direct,achat,84
2016,19,DROIT,1,0,direct,achat,34
2016,19,SJA,1,0,direct,achat,WQ
2008,19,SJA,0,8,direct,don,33
2015,19,SJA,1,1,direct,don,30
2016,19,SJA,1,1,direct,achat,65
2019,19,DROIT,1,0,direct,achat,34
1975,19,LASH,0,45,indirect,achat,numinv
2018,19,DROIT,1,0,direct,achat,65
2018,19,DROIT,1,0,direct,achat,36
2019,19,SJA,1,0,direct,achat,33
2018,19,SCIEN,1,0,direct,achat,53
2020,19,SJA,1,0,direct,achat,91
2016,19,MEDP,0,1,direct,achat,WM
2017,19,MEDP,0,0,direct,achat,WX
2016,19,MEDP,1,1,direct,achat,QD
1978,19,DROIT,0,37,direct,achat,numinv
1999,19,LASH,0,20,direct,achat,19
2018,19,SCIEN,1,0,direct,achat,61
